name,ra1,ra2,ra3,dec1,dec2,dec3,vmag
HIP 93085 ,18,57,43.7797,-21,6,23.848,3.52
HIP 92420 ,18,50,4.7939,+33,21,45.64,3.52
HIP 109427,22,10,11.8198,+06,11,52.04,3.52
HIP 40526 ,8,16,30.9482,+09,11,8.387,3.53
HIP 20889 ,4,28,36.9333,+19,10,49.875,3.53
HIP 77516 ,15,49,37.2657,-3,25,48.508,3.54
HIP 56343 ,11,33,0.259,-31,51,27.087,3.54
HIP 86263 ,17,37,35.2252,-15,23,54.27,3.54
HIP 27288 ,5,46,57.3497,-14,49,19.01,3.55
HIP 99240 ,20,8,41.8601,-66,10,45.556,3.55
HIP 69996 ,14,19,24.2327,-46,3,29.102,3.55
HIP 20042 ,4,17,53.6186,-33,47,53.993,3.55
HIP 89937 ,18,21,2.339,+72,44,1.311,3.55
HIP 1562  ,0,19,25.683,-8,49,25.786,3.56
HIP 10602 ,2,16,30.5003,-51,30,43.601,3.56
HIP 55282 ,11,19,20.5226,-14,46,44.557,3.56
HIP 82545 ,16,52,20.1535,-38,1,2.92,3.56
HIP 71053 ,14,31,49.8578,+30,22,16.122,3.57
HIP 44471 ,9,3,37.5588,+47,9,23.974,3.57
HIP 75177 ,15,21,48.4365,-36,15,40.202,3.57
HIP 37740 ,7,44,26.8686,+24,23,53.265,3.57
HIP 35350 ,7,18,5.6068,+16,32,25.711,3.58
HIP 100064,20,18,3.2185,-12,32,41.492,3.58
HIP 57757 ,11,50,41.2861,+01,45,55.357,3.59
HIP 60260 ,12,21,21.8113,-60,24,4.932,3.59
HIP 7607  ,1,37,59.5024,+48,37,42.551,3.59
HIP 27072 ,5,44,27.975,-22,26,50.952,3.59
HIP 24674 ,5,17,36.3989,-6,50,39.79,3.59
HIP 6537  ,1,24,1.4512,-8,10,57.913,3.6
HIP 85727 ,17,31,5.9769,-60,41,0.984,3.6
HIP 46651 ,9,30,42.113,-40,28,0.795,3.6
HIP 42536 ,8,40,17.6092,-52,55,19.101,3.6
HIP 33018 ,6,52,47.3401,+33,57,40.931,3.6
HIP 76470 ,15,37,1.4586,-28,8,6.256,3.6
HIP 49841 ,10,10,35.3971,-12,21,13.821,3.61
HIP 63613 ,13,2,15.7775,-71,32,55.675,3.61
HIP 86929 ,17,45,44.0024,-64,43,25.444,3.61
HIP 15900 ,3,24,48.8376,+09,1,44.634,3.61
HIP 13209 ,2,49,58.9894,+27,15,38.846,3.61
HIP 7097  ,1,31,28.9939,+15,20,44.992,3.62
HIP 82729 ,16,54,35.1052,-42,21,38.733,3.62
HIP 17847 ,3,49,9.7312,+24,3,12.687,3.62
HIP 37819 ,7,45,15.3039,-37,58,6.955,3.62
HIP 113726,23,1,55.2465,+42,19,33.523,3.62
HIP 57363 ,11,45,36.5673,-66,43,43.836,3.63
HIP 101769,20,37,32.8698,+14,35,42.73,3.64
HIP 46733 ,9,31,31.5697,+63,3,42.464,3.65
HIP 110960,22,28,49.8006,0,1,12.227,3.65
HIP 20205 ,4,19,47.5339,+15,37,39.721,3.65
HIP 88714 ,18,6,37.8788,-50,5,29.237,3.65
HIP 77233 ,15,46,11.2149,+15,25,18.934,3.65
HIP 75695 ,15,27,49.8519,+29,6,19.77,3.66
HIP 76600 ,15,38,39.3844,-29,46,39.682,3.66
HIP 68756 ,14,4,23.426,+64,22,32.911,3.67
HIP 103227,20,54,48.5796,-58,27,14.741,3.67
HIP 22549 ,4,51,12.366,+05,36,18.365,3.68
HIP 97365 ,19,47,23.2652,+18,32,3.333,3.68
HIP 42828 ,8,43,35.5475,-33,11,11.081,3.68
HIP 114341,23,9,26.7621,-21,10,20.948,3.68
HIP 9007  ,1,55,56.8325,-51,36,34.512,3.69
HIP 57399 ,11,46,3.1341,+47,46,45.613,3.69
HIP 2920  ,0,36,58.267,+53,53,48.954,3.69
HIP 23453 ,5,2,28.6801,+41,4,33.202,3.69
HIP 106985,21,40,5.3422,-16,39,44.112,3.69
HIP 47854 ,9,45,14.8276,-62,30,28.524,3.69
HIP 114971,23,17,9.4936,+03,16,56.083,3.7
HIP 87933 ,17,57,45.8307,+29,14,52.531,3.7
HIP 15474 ,3,19,30.9697,-21,45,28.592,3.7
HIP 98036 ,19,55,18.7662,+06,24,28.56,3.71
HIP 22797 ,4,54,15.0956,+02,26,26.417,3.71
HIP 38414 ,7,52,13.0455,-40,34,32.876,3.71
HIP 77622 ,15,50,48.8912,+04,28,39.287,3.71
HIP 88771 ,18,7,21.0207,+09,33,49.152,3.71
HIP 28103 ,5,56,24.3183,-14,10,4.937,3.71
HIP 28358 ,5,59,31.5503,+54,17,5.935,3.72
HIP 16537 ,3,32,56.4216,-9,27,29.901,3.72
HIP 17499 ,3,44,52.5235,+24,6,48.414,3.72
HIP 104060,21,4,55.8558,+43,55,40.264,3.72
HIP 107089,21,41,28.4731,-77,23,22.064,3.73
HIP 112961,22,52,36.8645,-7,34,46.844,3.73
HIP 72220 ,14,46,14.9918,+01,53,34.578,3.73
HIP 87585 ,17,53,31.6295,+56,52,20.828,3.73
HIP 16083 ,3,27,10.1209,+09,43,57.981,3.73
HIP 8645  ,1,51,27.6106,-10,20,5.803,3.74
HIP 80170 ,16,21,55.2437,+19,9,10.879,3.74
HIP 104887,21,14,47.3466,+38,2,39.554,3.74
HIP 87108 ,17,47,53.574,+02,42,26.851,3.75
HIP 44511 ,9,4,9.3205,-47,5,51.77,3.75
HIP 95853 ,19,29,42.3393,+51,43,46.083,3.76
HIP 30867 ,6,28,49.0741,-7,1,58.982,3.76
HIP 111169,22,31,17.3758,+50,16,56.819,3.76
HIP 93683 ,19,4,40.9338,-21,44,28.876,3.76
HIP 27654 ,5,51,19.1528,-20,52,39.05,3.76
HIP 26069 ,5,33,37.5164,-62,29,23.481,3.76
HIP 26549 ,5,38,44.7653,-2,36,0.244,3.77
HIP 42570 ,8,40,37.5753,-46,38,55.518,3.77
HIP 20455 ,4,22,56.0273,+17,32,33.303,3.77
HIP 101958,20,39,38.2545,+15,54,43.39,3.77
HIP 105881,21,26,40.0277,-22,24,40.962,3.77
HIP 82363 ,16,49,47.1114,-59,2,28.739,3.77
HIP 109176,22,7,0.4745,+25,20,42.166,3.77
HIP 13268 ,2,50,41.7928,+55,53,43.906,3.77
HIP 17529 ,3,45,11.6434,+42,34,42.76,3.77
HIP 41312 ,8,25,44.2462,-66,8,11.474,3.77
HIP 71795 ,14,41,8.9204,+13,43,41.992,3.78
HIP 102618,20,47,40.5326,-9,29,44.484,3.78
HIP 48319 ,9,50,59.6917,+59,2,20.776,3.78
HIP 36046 ,7,25,43.6761,+27,47,53.828,3.78
HIP 34481 ,7,8,44.8245,-70,29,57.1,3.78
HIP 53253 ,10,53,29.5662,-58,51,11.753,3.78
HIP 55203 ,11,18,11.24,+31,31,50.8,3.79
HIP 53229 ,10,53,18.6399,+34,12,56.039,3.79
HIP 14668 ,3,9,29.6291,+44,51,28.4,3.79
HIP 99675 ,20,13,37.9027,+46,44,28.767,3.8
HIP 94779 ,19,17,6.1099,+53,22,5.378,3.8
HIP 14879 ,3,12,4.28,-28,59,20.782,3.8
HIP 37229 ,7,38,49.8813,-26,48,14.013,3.8
HIP 76276 ,15,34,48.1902,+10,32,19.893,3.8
HIP 116584,23,37,33.7077,+46,27,33.034,3.81
HIP 51232 ,10,27,52.7451,-58,44,21.871,3.81
HIP 76952 ,15,42,44.6382,+26,17,43.851,3.81
HIP 21393 ,4,35,33.0717,-30,33,44.318,3.81
HIP 9487  ,2,2,2.8006,+02,45,49.538,3.82
HIP 80883 ,16,30,54.8412,+01,59,2.762,3.82
HIP 45688 ,9,18,50.6673,+36,48,10.431,3.82
HIP 86414 ,17,39,27.8924,+46,0,22.76,3.82
HIP 56211 ,11,31,24.2885,+69,19,52.038,3.82
HIP 51069 ,10,26,5.505,-16,50,9.945,3.83
HIP 68245 ,13,58,16.2847,-42,6,2.539,3.83
HIP 72370 ,14,47,51.7262,-79,2,40.965,3.83
HIP 43783 ,8,55,2.8617,-60,38,40.963,3.84
HIP 97433 ,19,48,10.2136,+70,16,4.207,3.84
HIP 17440 ,3,44,11.5549,-64,48,25.538,3.84
HIP 51624 ,10,32,48.6751,+09,18,23.74,3.84
HIP 89341 ,18,13,45.8087,-21,3,31.789,3.84
HIP 51986 ,10,37,18.2568,-48,13,32.219,3.84
HIP 20885 ,4,28,34.4323,+15,57,43.982,3.84
HIP 17448 ,3,44,19.1264,+32,17,17.784,3.84
HIP 88794 ,18,7,32.5508,+28,45,44.893,3.84
HIP 61199 ,12,32,28.111,-72,7,58.713,3.84
HIP 91117 ,18,35,12.4379,-8,14,35.909,3.85
HIP 27321 ,5,47,17.0833,-51,4,0.168,3.85
HIP 19747 ,4,14,0.0813,-42,17,37.943,3.85
HIP 61622 ,12,37,42.3278,-48,32,28.637,3.85
HIP 78072 ,15,56,26.9942,+15,39,53.04,3.85
HIP 50191 ,10,14,44.2738,-42,7,19.426,3.85
HIP 90139 ,18,23,41.7668,+21,46,13.233,3.85
HIP 30277 ,6,22,6.8452,-33,26,10.581,3.85
HIP 61281 ,12,33,29.0425,+69,47,17.556,3.85
HIP 110395,22,21,39.3,-1,23,14.471,3.86
HIP 25859 ,5,31,12.7355,-35,28,13.569,3.86
